file,class,code,start_pos,end_pos,duration_s,ttf_start_h,ttf_end_h
E02_12,E02,E011,301571,301597,27,84.39694444444444,84.38972222222222
E02_12,E02,E003,301598,301598,1,84.38944444444445,84.38944444444445
E02_12,E02,E011,301599,301685,87,84.38916666666667,84.36527777777778
E02_12,E02,E003,301686,301687,2,84.365,84.36472222222223
E02_12,E02,E011,301688,301757,70,84.36444444444444,84.34527777777778
E02_12,E02,E003,301758,301758,1,84.345,84.345
E02_12,E02,E011,301759,302053,295,84.34472222222222,84.26305555555555
E02_12,E02,E003,302054,302120,67,84.26277777777777,84.24444444444444
E02_12,E02,E011,302121,302139,19,84.24416666666667,84.23916666666666
E02_12,E02,E003,302140,302140,1,84.2388888888889,84.2388888888889
E02_12,E02,E011,302141,302142,2,84.23861111111111,84.23833333333333
E02_12,E02,E003,302143,302144,2,84.23805555555556,84.23777777777778
E02_12,E02,E011,302145,302799,655,84.2375,84.05583333333334
E02_12,E02,E003,302800,304023,1224,84.05555555555556,83.71583333333334
E02_12,E02,E011,304024,304468,445,83.71555555555555,83.59222222222222
E02_12,E02,E003,304469,305143,675,83.59194444444445,83.40472222222222
E02_12,E02,E011,305144,305144,1,83.40444444444445,83.40444444444445
E02_12,E02,E003,305145,305164,20,83.40416666666667,83.39888888888889
E02_12,E02,E011,305165,305262,98,83.39861111111111,83.37166666666667
E02_12,E02,E003,305263,305263,1,83.37138888888889,83.37138888888889
E02_12,E02,E011,305264,305332,69,83.3711111111111,83.35222222222222
E02_12,E02,E003,305333,306080,748,83.35194444444444,83.14444444444445
E02_12,E02,E011,306081,306126,46,83.14416666666666,83.13166666666666
E02_12,E02,E003,306127,306291,165,83.13138888888889,83.08583333333333
E02_12,E02,E011,306292,306292,1,83.08555555555556,83.08555555555556
E02_12,E02,E003,306293,306296,4,83.08527777777778,83.08444444444444
E02_12,E02,E011,306297,306298,2,83.08416666666666,83.0838888888889
E02_12,E02,E003,306299,306433,135,83.08361111111111,83.04638888888888
E02_12,E02,E011,306434,306434,1,83.04611111111112,83.04611111111112
E02_12,E02,E003,306435,306854,420,83.04583333333333,82.92944444444444
E02_12,E02,E011,306855,307985,1131,82.92916666666666,82.61527777777778
E02_12,E02,E003,307986,308478,493,82.615,82.47833333333334
E02_12,E02,E011,308479,309075,597,82.47805555555556,82.3125
E02_12,E02,E003,309076,309076,1,82.31222222222222,82.31222222222222
E02_12,E02,E011,309077,309442,366,82.31194444444445,82.21055555555556
E02_12,E02,E003,309443,309443,1,82.21027777777778,82.21027777777778
E02_12,E02,E011,309444,309652,209,82.21,82.15222222222222
E02_12,E02,E003,309653,310153,501,82.15194444444444,82.01305555555555
E02_12,E02,E011,310154,310414,261,82.01277777777777,81.94055555555556
E02_12,E02,E003,310415,311541,1127,81.94027777777778,81.6275
E02_12,E02,E011,311542,312121,580,81.62722222222222,81.46638888888889
E02_12,E02,E003,312122,313088,967,81.4661111111111,81.19777777777777
E02_12,E02,E011,313089,313704,616,81.1975,81.02666666666667
E02_12,E02,E003,313705,313826,122,81.02638888888889,80.99277777777777
E02_12,E02,E011,313827,315347,1521,80.9925,80.57027777777778
E02_12,E02,E003,315348,315532,185,80.57,80.5188888888889
E02_12,E02,E011,315533,315934,402,80.51861111111111,80.40722222222222
E02_12,E02,E003,315935,315936,2,80.40694444444445,80.40666666666667
E02_12,E02,E011,315937,316394,458,80.40638888888888,80.27944444444445
E02_12,E02,E003,316395,316395,1,80.27916666666667,80.27916666666667
E02_12,E02,E011,316396,316517,122,80.27888888888889,80.24527777777777
E02_12,E02,E003,316518,316541,24,80.245,80.23861111111111
